vendor,hq_country,geo_region
AcmeCorp,USA,North America
Globex,France,Europe
Initech,Germany,Europe
UmbrellaCorp,China,Asia
Hooli,India,Asia
StarkIndustries,Brazil,South America
WayneEnterprises,UK,Europe
WonkaIndustries,Japan,Asia
Cyberdyne,USA,North America
TyrellCorp,France,Europe
ApertureLabs,USA,North America
BlackMesa,USA,North America
Oscorp,USA,North America
LexCorp,USA,North America
PiedPiper,USA,North America
VoughtInternational,USA,North America
MassiveDynamic,USA,North America
BlueSun,China,Asia
Virtucon,USA,North America
OctanCorp,USA,North America
VeidtEnterprises,USA,North America
NakatomiTrading,Japan,Asia
PaperStreet,USA,North America
MonarchSolutions,USA,North America
Primatech,USA,North America
LosPollosHermanos,USA,North America
FrobozzCo,USA,North America
PlanetExpress,USA,North America
MomCorp,USA,North America
SoylentCorp,USA,North America
BigCorp,USA,North America
OceanicAirlines,USA,North America
DunderMifflin,USA,North America
SiriusCybernetics,UK,Europe
BuyNLarge,USA,North America
SpacelySprockets,USA,North America
CogswellCogs,USA,North America
DuffBeer,USA,North America
OmniCorp,USA,North America
Yoyodyne,USA,North America
MegaCorp,USA,North America
GlobexGlobal,France,Europe
StarkTech,USA,North America
WayneTech,USA,North America
UmbrellaTech,China,Asia
HooliGlobal,India,Asia
AcmeGlobal,USA,North America
LexTech,USA,North America
OscorpGlobal,USA,North America
